14/10/2025 11:43:37 | INFO | ═══════════════════════════════════════════════════════════════
14/10/2025 11:43:37 | INFO | 📍 Ciclo #2 - 14/10/2025 11:43:37
14/10/2025 11:43:37 | INFO | ✅ Servidor está online
14/10/2025 11:43:37 | INFO | 📊 Status do Servidor:
14/10/2025 11:43:37 | INFO |    - Total de sinais: 0
14/10/2025 11:43:37 | INFO |    - Chamadas API hoje: 3/497 restantes
14/10/2025 11:43:37 | INFO |    - Eventos em cache: 9
14/10/2025 11:43:37 | INFO |    - Notícias em cache: 0
14/10/2025 11:43:37 | INFO |    - Sentimento: NEUTRAL
14/10/2025 11:43:37 | INFO |    - Próximo evento: Fed Chair Powell Speaks em 36 min
14/10/2025 11:43:37 | INFO | 📥 Forçando atualização...
14/10/2025 11:43:37 | INFO | ✅ Atualização iniciada:
14/10/2025 11:43:37 | INFO |    - Calendário: updating (External API + CSV)
14/10/2025 11:43:37 | INFO |    - Notícias: updating
14/10/2025 11:43:37 | INFO | ⏳ Próxima atualização em 10 minutos
14/10/2025 11:43:37 | INFO | ═══════════════════════════════════════════════════════════════

14/10/2025 11:53:37 | INFO | ═══════════════════════════════════════════════════════════════
14/10/2025 11:53:37 | INFO | 📍 Ciclo #3 - 14/10/2025 11:53:37
14/10/2025 11:53:37 | INFO | ✅ Servidor está online
14/10/2025 11:53:37 | INFO | 📊 Status do Servidor:
14/10/2025 11:53:37 | INFO |    - Total de sinais: 0
14/10/2025 11:53:37 | INFO |    - Chamadas API hoje: 5/495 restantes
14/10/2025 11:53:37 | INFO |    - Eventos em cache: 9
14/10/2025 11:53:37 | INFO |    - Notícias em cache: 0
14/10/2025 11:53:37 | INFO |    - Sentimento: NEUTRAL
14/10/2025 11:53:37 | INFO |    - Próximo evento: Fed Chair Powell Speaks em 26 min
14/10/2025 11:53:37 | INFO | 📥 Forçando atualização...
14/10/2025 11:53:37 | INFO | ✅ Atualização iniciada:
14/10/2025 11:53:37 | INFO |    - Calendário: updating (External API + CSV)
14/10/2025 11:53:37 | INFO |    - Notícias: updating
14/10/2025 11:53:37 | INFO | ⏳ Próxima atualização em 10 minutos
14/10/2025 11:53:37 | INFO | ═══════════════════════════════════════════════════════════════

14/10/2025 12:03:37 | INFO | ═══════════════════════════════════════════════════════════════
14/10/2025 12:03:37 | INFO | 📍 Ciclo #4 - 14/10/2025 12:03:37
14/10/2025 12:03:37 | INFO | ✅ Servidor está online
14/10/2025 12:03:37 | INFO | 📊 Status do Servidor:
14/10/2025 12:03:37 | INFO |    - Total de sinais: 0
